iter	Passed	Remaining
0	21	10776
1	35	8957
2	53	8784
3	68	8511
4	83	8220
5	99	8211
6	119	8392
7	135	8316
8	148	8127
9	163	8019
10	179	7968
11	193	7850
12	207	7761
13	220	7650
14	236	7636
15	251	7611
16	267	7601
17	281	7538
18	297	7518
19	311	7470
20	328	7497
21	349	7594
22	364	7550
23	377	7496
24	392	7448
25	406	7407
26	419	7356
27	432	7297
28	445	7229
29	458	7184
30	469	7106
31	482	7056
32	494	6996
33	507	6954
34	518	6882
35	531	6855
36	543	6798
37	554	6741
38	579	6844
39	593	6821
40	605	6779
41	617	6736
42	631	6710
43	646	6698
44	660	6677
45	675	6664
46	687	6627
47	700	6594
48	711	6551
49	722	6501
50	735	6476
51	746	6433
52	757	6392
53	770	6366
54	782	6328
55	793	6288
56	804	6249
57	816	6222
58	829	6200
59	841	6173
60	852	6137
61	863	6100
62	876	6081
63	889	6061
64	902	6041
65	916	6024
66	927	5993
67	944	5999
68	964	6023
69	977	6003
70	990	5984
71	1003	5962
72	1018	5957
73	1029	5927
74	1040	5898
75	1052	5871
76	1064	5848
77	1077	5828
78	1088	5800
79	1100	5776
80	1110	5746
81	1121	5718
82	1134	5701
83	1146	5677
84	1160	5666
85	1171	5640
86	1182	5613
87	1196	5601
88	1207	5576
89	1223	5572
90	1237	5560
91	1250	5545
92	1265	5536
93	1277	5518
94	1289	5497
95	1303	5486
96	1316	5470
97	1330	5458
98	1344	5446
99	1358	5432
100	1371	5417
101	1384	5403
102	1395	5380
103	1408	5362
104	1420	5344
105	1430	5318
106	1444	5304
107	1454	5280
108	1467	5262
109	1477	5238
110	1491	5226
111	1506	5218
112	1520	5206
113	1535	5198
114	1549	5186
115	1565	5180
116	1580	5172
117	1594	5161
118	1609	5151
119	1623	5139
120	1638	5131
121	1652	5121
122	1666	5107
123	1683	5103
124	1699	5097
125	1713	5087
126	1726	5069
127	1738	5051
128	1753	5041
129	1767	5029
130	1781	5019
131	1797	5010
132	1809	4993
133	1821	4974
134	1832	4955
135	1845	4939
136	1860	4928
137	1874	4916
138	1888	4904
139	1900	4886
140	1914	4875
141	1928	4862
142	1942	4850
143	1957	4839
144	1971	4827
145	1985	4814
146	1998	4799
147	2012	4787
148	2025	4771
149	2040	4762
150	2053	4745
151	2065	4727
152	2078	4714
153	2091	4699
154	2104	4683
155	2115	4664
156	2127	4647
157	2138	4628
158	2148	4608
159	2162	4594
160	2175	4581
161	2189	4568
162	2201	4550
163	2214	4536
164	2228	4525
165	2241	4509
166	2255	4498
167	2268	4483
168	2280	4466
169	2292	4449
170	2303	4431
171	2314	4414
172	2328	4402
173	2340	4384
174	2353	4371
175	2367	4358
176	2380	4344
177	2391	4326
178	2405	4313
179	2419	4301
180	2432	4287
181	2445	4272
182	2458	4257
183	2470	4243
184	2483	4228
185	2495	4213
186	2507	4197
187	2517	4178
188	2530	4164
189	2543	4150
190	2556	4136
191	2570	4122
192	2583	4109
193	2596	4095
194	2609	4081
195	2622	4067
196	2635	4053
197	2648	4039
198	2659	4023
199	2672	4008
200	2685	3994
201	2696	3977
202	2707	3960
203	2720	3946
204	2733	3933
205	2747	3920
206	2761	3908
207	2774	3895
208	2788	3882
209	2802	3869
210	2815	3856
211	2827	3840
212	2840	3827
213	2851	3811
214	2865	3798
215	2878	3785
216	2889	3768
217	2902	3754
218	2916	3742
219	2930	3729
220	2944	3717
221	2958	3704
222	2970	3690
223	2984	3677
224	2996	3662
225	3012	3652
226	3025	3638
227	3039	3626
228	3052	3611
229	3065	3598
230	3078	3584
231	3092	3572
232	3103	3555
233	3116	3542
234	3128	3528
235	3142	3514
236	3154	3500
237	3166	3486
238	3179	3472
